functional,ecut_ry,kmesh,value_ev_atom,convergence_abs_mev_per_atom,scf_residual_abs_mev_per_atom,total_abs_mev_per_atom,relative_percent,quality_tier,source_file,reference_file
PBE,30,4,-2027.7186304129937,1106.9128072776562,1.3265550794919151e-08,1106.9128072776562,0.054589073191688674,Red,PBE_30_4_scf.out,PBE_90_10_scf.out
PBE,30,6,-2027.7171994104094,1108.343809861871,2.6190959261763452e-08,1108.343809861871,0.05465968381508719,Red,PBE_30_6_scf.out,PBE_90_10_scf.out
PBE,30,8,-2027.7182166604646,1107.3265598069054,2.5170532277538897e-09,1107.3265598069054,0.054609489164160516,Red,PBE_30_8_scf.out,PBE_90_10_scf.out
PBE,30,10,-2027.717875684788,1107.6675354836025,2.210925132486525e-08,1107.6675354836025,0.054626314082748234,Red,PBE_30_10_scf.out,PBE_90_10_scf.out
PBE,40,4,-2028.76868512395,56.85809632120801,2.006839735641615e-08,56.85809632120801,0.0028025913815667063,Red,PBE_40_4_scf.out,PBE_90_10_scf.out
PBE,40,6,-2028.7687069032631,56.836317008104245,7.142988889571849e-09,56.836317008104245,0.002801517827769528,Red,PBE_40_6_scf.out,PBE_90_10_scf.out
PBE,40,8,-2028.7686885219719,56.85469829940049,1.22451238106946e-08,56.85469829940049,0.002802423885042366,Red,PBE_40_8_scf.out,PBE_90_10_scf.out
PBE,40,10,-2028.7686814027934,56.86181747821284,1.258526613876945e-08,56.86181747821284,0.0028027748061891264,Red,PBE_40_10_scf.out,PBE_90_10_scf.out
PBE,50,4,-2028.8062298130305,19.3134072409297,2.3809962965239503e-08,19.3134072409297,0.0009519591845254522,Red,PBE_50_4_scf.out,PBE_90_10_scf.out
PBE,50,6,-2028.8062316532003,19.311567070905816,3.1973378839035897e-08,19.311567070905816,0.0009518684815537818,Red,PBE_50_6_scf.out,PBE_90_10_scf.out
PBE,50,8,-2028.806233738273,19.309481998520802,2.006839735641615e-08,19.309481998520802,0.0009517657072130145,Red,PBE_50_8_scf.out,PBE_90_10_scf.out
PBE,50,10,-2028.80623387433,19.30934594148164,1.5986689419517948e-08,19.30934594148164,0.0009517590008882886,Red,PBE_50_10_scf.out,PBE_90_10_scf.out
PBE,60,4,-2028.814193793253,11.349427018325612,1.29254084668443e-08,11.349427018325612,0.0005594118501855364,Amber,PBE_60_4_scf.out,PBE_90_10_scf.out
PBE,60,6,-2028.8141913306226,11.351889648723612,1.7007116403742498e-08,11.351889648723612,0.0005595332336116171,Amber,PBE_60_6_scf.out,PBE_90_10_scf.out
